file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-03-SUMI-GOTT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,縦書き,PRV-03-SUMI-S-GOTT PRV-03-SUMI-M-GOTT PRV-03-SUMI-L-GOTT
PRV-03-SUMI-GOTY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,横書き,PRV-03-SUMI-S-GOTY PRV-03-SUMI-M-GOTY PRV-03-SUMI-L-GOTY
PRV-03-SHU-MINT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,縦書き,PRV-03-SHU-S-MINT PRV-03-SHU-M-MINT PRV-03-SHU-L-MINT
PRV-03-SHU-MINY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,横書き,PRV-03-SHU-S-MINY PRV-03-SHU-M-MINY PRV-03-SHU-L-MINY
PRV-03-SHU-FDET.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,縦書き,PRV-03-SHU-S-FDET PRV-03-SHU-M-FDET PRV-03-SHU-L-FDET
PRV-03-SHU-FDEY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,横書き,PRV-03-SHU-S-FDEY PRV-03-SHU-M-FDEY PRV-03-SHU-L-FDEY
PRV-03-SHU-GOTT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,縦書き,PRV-03-SHU-S-GOTT PRV-03-SHU-M-GOTT PRV-03-SHU-L-GOTT
PRV-03-SHU-GOTY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,横書き,PRV-03-SHU-S-GOTY PRV-03-SHU-M-GOTY PRV-03-SHU-L-GOTY
PRV-04-KNR-MINT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,縦書き,PRV-04-KNR-S-MINT PRV-04-KNR-M-MINT PRV-04-KNR-L-MINT
PRV-04-KNR-MINY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,横書き,PRV-04-KNR-S-MINY PRV-04-KNR-M-MINY PRV-04-KNR-L-MINY
